Name,Link to soldier on AWM,Birth date,Date of birth,Birth place,Date and unit at enlistment (ORs),Final rank,Date of discharge,Conflict,Unit,Units,Date of embarkation,Embarkation date,Service number,Death date,Date of death,Death place,Place of death
Private Edgar Nabi Bux,https://www.awm.gov.au/people/P10677899/#biography,1899,1899,"Australia: Victoria, Barmah",1917-04-10,Private,1917-08-21,none,none,none,none,none,"N77351 - First World War, 1914-1918",none,none,none,none
Private Albert Thomas Byrne,https://www.awm.gov.au/people/P10605095/#biography,1899,1899,"Australia: New South Wales, Sydney",none,Private,none,none,none,none,1916-10-17,none,"2277 - First World War, 1914-1918",18 February 1943,1943-02-18,"Australia: New South Wales, Sydney, Newtown",none
Private Arthur Byrne,https://www.awm.gov.au/people/P10677624/#biography,none,none,"Australia: New South Wales, Sydney",none,Private,none,none,33rd Australian Infantry Battalion,none,1916-05-04,none,"718 - First World War, 1914-1918",none,none,none,none
Private Henry Byrne,https://www.awm.gov.au/people/P10626504/#biography,none,none,"Australia: New South Wales, Sydney, Darlinghurst",none,Private,none,none,none,none,1915-10-04,none,"1428 - First World War, 1914-1918",none,none,none,none
Private George Byrnes,https://www.awm.gov.au/people/P10404324/#biography,3 May 1899,1899-05-03,"Australia: New South Wales, Obley",none,Private,none,none,none,none,1916-11-09,none,"6954 - First World War, 1914-1918N387083 - Second World War, 1939-1945",6 November 1974,1974-11-06,none,none
Private Daniel Cabbo,https://www.awm.gov.au/people/P10677901/#biography,1893,1893,Australia: Queensland,1917-05-14,Private,1917-06-13,none,none,none,none,none,"Q19612 - First World War, 1914-1918",none,none,none,none
Private George William Cain,https://www.awm.gov.au/people/P10677902/#biography,12 August 1900,1900-08-12,"Australia: New South Wales, Coonabarabran",19918-08-20,Private,1918-12-13,none,Depot,none,none,none,"94566 - First World War, 1914-1918N94079 - First World War, 1914-191894079 - First World War, 1914-1918N94566 - First World War, 1914-1918",none,none,none,none
Private James Edward Cain,https://www.awm.gov.au/people/P10661941/#biography,21 April 1897,1897-04-21,"Australia: New South Wales, Coonabarabran",none,Private,none,none,none,none,1917-05-09,none,"3146 - First World War, 1914-1918",none,none,none,none
Private James Cairncross,https://www.awm.gov.au/people/P10514989/#biography,none,none,"Australia: Queensland, Brisbane",none,Private,none,none,none,none,1917-08-02,none,"3610 - First World War, 1914-1918",none,none,none,none
Private Robert Ramsey Caldwell,https://www.awm.gov.au/people/P10677631/#biography,1894,1894,"Australia: Queensland, Winton",none,Private,none,none,15th Australian Infantry Battalion,none,1916-11-25,none,"6957 - First World War, 1914-1918",13 June 1918,1918-06-13,France,none
Private Alfred Cameron,https://www.awm.gov.au/people/P10630316/#biography,none,none,"Australia: South Australia, Meningie",none,Private,none,none,none,none,1915-08-26,none,"1173 - First World War, 1914-1918",none,none,none,none
Private William Charles Campbell,https://www.awm.gov.au/people/P10568315/#biography,none,none,"Australia: New South Wales, Cowper",none,Private,none,none,none,none,1917-11-02,none,"3471 - First World War, 1914-1918",none,none,none,none
Private Edward Capeen,https://www.awm.gov.au/people/P10619716/#biography,none,none,"Australia: New South Wales, Broadwater",none,Private,none,none,none,none,1916-10-21,none,"4039 - First World War, 1914-1918",none,none,none,none
Private Samuel John Capes,https://www.awm.gov.au/people/P10678260/#biography,1881,1881,"Australia: New South Wales, Uralla",none,Private,none,none,none,none,1916-05-04,none,"219 - First World War, 1914-1918723 - First World War, 1914-1918",none,none,none,none
Private William Carr,https://www.awm.gov.au/people/P10677903/#biography,10 June 1890,1890-06-10,"Australia: New South Wales, Parkes",1918-10-12,Private,1918-04-04,none,Depot,none,none,none,"N95331 - First World War, 1914-191895331 - First World War, 1914-1918",none,none,none,none
Private Thomas Carrissey,https://www.awm.gov.au/people/P10677904/#biography,1893,1893 DUP 1,"Australia: Queensland, Blackall",1917-06-09,Private,1917-09-07,none,none,none,none,none,"Q21121 - First World War, 1914-1918",none,none,none,none
Private Willie Carrissey,https://www.awm.gov.au/people/P10677905/#biography,1894,1894,"Australia: Queensland, Blackall",1917-07-25,Private,1917-09-07,none,none,none,none,none,"Q21122 - First World War, 1914-1918",none,none,none,none
Private George Carroll,https://www.awm.gov.au/people/P10677906/#biography,24 August 1898,1898-08-24,"Australia: New South Wales, Glen Innes",1918-08-09,Private,1918-12-31,"First World War, 1914-1918",Depot,none,none,none,none,none,none,none,none
Private William Carroll,https://www.awm.gov.au/people/P10617484/#biography,none,none,"Australia: New South Wales, Glen Innes",none,Private,none,none,none,none,1916-06-05,none,"54 - First World War, 1914-1918",none,none,none,none
Driver Cecil Thomas Carruthers,https://www.awm.gov.au/people/P10418099/#biography,none,none,"Australia: New South Wales, Sydney",none,Driver,none,none,none,none,1916-08-24,none,"12457 - First World War, 1914-1918",none,none,none,none
Driver Leslie James Carruthers,https://www.awm.gov.au/people/P10682715/#biography,none,none,"Australia: Victoria, Leichardt",none,Driver,none,none,none,none,1916-08-24,none,"12456 - First World War, 1914-1918",none,none,none,none
Private Angus Bruce Carten,https://www.awm.gov.au/people/P10633392/#biography,none,none,"Australia: New South Wales, Grafton",none,Private,none,none,none,none,1916-03-11,none,"2161 - First World War, 1914-1918",none,none,none,none
Private Henry James Carter,https://www.awm.gov.au/people/P10542269/#biography,none,none,"Australia: New South Wales, Young",none,Private,none,none,none,none,1915-11-09,none,"622 - First World War, 1914-1918",none,none,none,none
Private Rowland Winzel Carter,https://www.awm.gov.au/people/P10677642/#biography,none,none,"Australia: South Australia, Point McLeay",none,Private,none,none,50th Australian Infantry Battalion,none,1915-09-14,none,"3027 - First World War, 1914-1918",none,none,none,none
Private William Carter,https://www.awm.gov.au/people/P10608437/#biography,1882,1882,"Australia: New South Wales, Wagga Wagga",none,Private,none,none,none,none,1916-12-22,none,"3124 - First World War, 1914-1918",26 July 1949,1949-07-26,"Australia: Queensland, Ingham",none
Private William Castles,https://www.awm.gov.au/people/P10677643/#biography,none,none,"Australia: New South Wales, Sydney, Rooty Hill",none,Private,none,none,54th Australian Infantry Battalion,none,1916-11-30,none,"2507 - First World War, 1914-1918",23 October 1917,1917-10-23,France,none
Private Albert Cave,https://www.awm.gov.au/people/P10677908/#biography,1881,1881,"Australia: New South Wales, Coonamble",1917-04-03,Private,1917-04-11,none,none,none,none,none,"N76448 - First World War, 1914-1918",none,none,none,none
Private Reginald James Chappell,https://www.awm.gov.au/people/P10677909/#biography,9 March 1899,1899-03-09,"Australia: New South Wales, Inverell",1918-10-07,Private,1918-11-07,none,Depot,none,none,none,"N95073 - First World War, 1914-191895073 - First World War, 1914-1918",none,none,none,none
Private Roydon Harold Chappell,https://www.awm.gov.au/people/P10437587/#biography,none,none,"Australia: New South Wales, Inverell",none,Private,none,none,none,none,1916-03-31,none,"5062 - First World War, 1914-1918",none,none,none,none
Private William Thomas Chappell,https://www.awm.gov.au/people/P10626520/#biography,none,none,"Australia: New South Wales, Inverell",none,Private,none,none,none,none,1915-12-20,none,"1939 - First World War, 1914-1918",none,none,none,none
Private Alfred William Chatfield,https://www.awm.gov.au/people/P10677910/#biography,1894,1894,"Australia: New South Wales, Coonabarabran",1917-02-25,Private,,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Trooper William Wallace Chatfield,https://www.awm.gov.au/people/P10677911/#biography,28 February 1897,1897-02-28,"Australia: New South Wales, Coonabarabran",1918-06-09,Trooper,none,none,1st Australian Light Horse Regiment,none,1918-08-17,none,"57312 - First World War, 1914-1918",none,none,none,none
Private William Christie,https://www.awm.gov.au/people/P10677928/#biography,1892,1892,"Australia: Queensland, Charters Towers",none,Private,none,none,none,none,none,none,"19606 - First World War, 1914-1918",none,none,none,none
Private Edward Clark,https://www.awm.gov.au/people/P10521101/#biography,none,none,"Australia: New South Wales, Nundle",none,Private,none,none,none,none,1916-11-11,none,"6292 - First World War, 1914-1918",none,none,none,none
Private Henry Clark,https://www.awm.gov.au/people/P10521102/#biography,1883,1883,"Australia: New South Wales, Nundle",none,Private,none,none,none,none,1916-11-11,none,"6293 - First World War, 1914-1918",17 May 1958,1958-05-17,none,none
Lance Corporal Thomas John Clark,https://www.awm.gov.au/people/P10677649/#biography,none,none,"Australia: New South Wales, Singleton",none,Lance Corporal,none,none,Australian Remount Depot,none,1915-11-10,none,"1273 - First World War, 1914-1918",none,none,none,none
Private Charlie Clarke,https://www.awm.gov.au/people/P10638304/#biography,none,none,"Australia: New South Wales, Walgett",none,Private,none,none,none,none,1917-06-14,none,"7450 - First World War, 1914-1918",none,none,none,none
Private Jack Clarke,https://www.awm.gov.au/people/P10677914/#biography,1899,1899,"Australia: New South Wales, Laurieton",1916-04-11,Private,1916-06-07,none,none,none,none,none,"N11246 - First World War, 1914-1918",none,none,none,none
Private John Murray Clarke,https://www.awm.gov.au/people/P10677915/#biography,25 January 1894,1894-01-25,"Australia: Victoria, Warrnambool",1917-08-08,Private,1918-12-05,none,none,none,none,none,"60899 - First World War, 1914-1918V68673 - First World War, 1914-1918",none,none,none,none
Private Sydney James Clarke,https://www.awm.gov.au/people/P10677650/#biography,none,none,"Australia: Queensland, St George",none,Private,none,none,49th Australian Infantry Battalion,none,1917-10-31,none,"3762 - First World War, 1914-1918",21 June 1918,1918-06-21,"United Kingdom: England, Wiltshire, Codford",none
Private Joseph Clatworthy,https://www.awm.gov.au/people/P10678261/#biography,March 1897,1897-03,"Australia: Western Australia, Esperance",none,Private,none,none,Reinforcements,none,1918-10-29,none,"62782 - First World War, 1914-1918",23 December 1918,1918-12-23,"Australia: Western Australia, Perth, Quarantine Station",none
Private Wilfred Clayton,https://www.awm.gov.au/people/P10678266/#biography,1892,1892,"Australia: Queensland, Surat",none,Private,none,none,41st Australian Infantry Battalion,none,1916-05-01,none,"2008 - First World War, 1914-1918",9 March 1917,1917-03-09,France,none
Private Cecil Coe,https://www.awm.gov.au/people/P10670344/#biography,1896,1896,"Australia: New South Wales, Cowra",none,Private,none,none,4th Australian Infantry Battalion,none,1916-08-22,none,"6130 - First World War, 1914-1918",1969,1969,"Australia: New South Wales, Cowra",none
Private Elijah Joseph Coe,https://www.awm.gov.au/people/P10509602/#biography,1878,1878,"Australia: New South Wales, Cowra",none,Private,none,none,54th Australian Infantry Battalion,none,1917-01-24,none,"3360 - First World War, 1914-1918",none,none,none,none
Private John Augustus Coe,https://www.awm.gov.au/people/P10579948/#biography,1897,1897,"Australia: New South Wales, Cowra",none,Private,none,none,17th Australian Infantry Battalion,none,1916-08-22,none,"5331 - First World War, 1914-1918",1921,1921,"Australia: New South Wales, Sydney, Randwick",none
Private John Henry Alfred Coe,https://www.awm.gov.au/people/P10678268/#biography,1871,1871,"Australia: New South Wales, Cowra",none,Private,none,none,53rd Australian Infantry Battalion,none,1916-09-14,none,"2391 - First World War, 1914-1918",29 March 1917,1917-03-29,France,none
Private Leslie Coe,https://www.awm.gov.au/people/P10678270/#biography,1888,1888,"Australia: New South Wales, Cowra",none,Private,none,"First World War, 1914-1918",Depot,none,none,none,none,1970,1970,"Australia: New South Wales, Condobolin",none
Private Walter Coe,https://www.awm.gov.au/people/P10458744/#biography,1895,1895,"Australia: New South Wales, Cowra",none,Private,none,none,Australian Army Service Corps,none,1918-10-05,none,"66304 - First World War, 1914-1918",none,none,none,none
Private Walter John Coleman,https://www.awm.gov.au/people/P10618018/#biography,none,none,"Australia: New South Wales, Newcastle",none,Private,none,none,none,none,1915-11-09,none,"388 - First World War, 1914-1918",none,none,none,none
Private Willie Coleman,https://www.awm.gov.au/people/P10678273/#biography,1890,1890,"Australia: South Australia, Fowlers Bay",none,Private,none,none,none,none,none,none,"S12816 - First World War, 1914-1918",none,none,none,none
Private Harold Collard,https://www.awm.gov.au/people/P10662315/#biography,1893,1893,"Australia: Western Australia, Mount Kokeby",none,Private,none,none,none,none,1916-12-29,none,"3019 - First World War, 1914-1918",none,none,none,none
Private Lewis Collard,https://www.awm.gov.au/people/P10662308/#biography,1895,1895,"Australia: Western Australia, Beverley",none,Private,none,none,none,none,1916-12-29,none,"3011 - First World War, 1914-1918",none,none,none,none
Private Edward Collins,https://www.awm.gov.au/people/P10656787/#biography,1896,1896,"Australia: Queensland, Mitchell",none,Private,none,none,11th Australian Light Horse Regiment,none,1917-12-19,none,"2424 - First World War, 1914-1918",16 June 1964,1964-06-16,"Australia: New South Wales, Broken Hill",none
Private Fred Collins,https://www.awm.gov.au/people/P10656915/#biography,8 July 1891,1891-07-08,"Australia: Queensland, Mitchell",none,Private,none,none,11th Australian Light Horse Regiment,none,1917-12-19,none,"2459 - First World War, 1914-1918",none,none,none,none
